Date,Close/Last,Volume,Open,High,Low
12/12/2024,69.92,48284,70.31,70.3362,69.92
12/11/2024,70.54,35156,70.92,71.1891,70.45
12/10/2024,70.52,70930,71.00,71.00,69.955
12/09/2024,71.48,51351,71.54,71.68,71.36
12/06/2024,71.22,66262,71.67,71.71,71.09
12/05/2024,71.32,43439,72.09,72.09,71.209
12/04/2024,72.14,50483,72.27,72.27,71.80
12/03/2024,72.14,95454,72.00,72.26,71.6698
12/02/2024,71.62,61740,71.91,71.91,71.14
11/29/2024,71.76,23796,71.84,72.01,71.7101
11/27/2024,71.54,47982,71.65,72.06,71.50
11/26/2024,71.43,35967,71.85,71.85,71.29
11/25/2024,71.96,70371,71.46,72.25,71.46
11/22/2024,71.12,42013,70.42,71.15,70.42
11/21/2024,70.38,126282,69.75,70.57,69.41
11/20/2024,69.49,52087,69.51,69.51,69.05
11/19/2024,69.29,126402,69.05,69.4163,68.85
11/18/2024,69.50,72667,69.15,69.74,69.02
11/15/2024,69.18,82374,69.63,69.82,69.10
11/14/2024,69.74,156178,70.88,70.88,69.71
11/13/2024,70.87,65827,70.99,71.31,70.74
11/12/2024,70.88,68427,71.44,71.62,70.79
11/11/2024,71.61,92124,71.70,71.95,71.48
11/08/2024,71.30,64099,71.47,71.71,71.22
11/07/2024,71.78,84093,72.21,72.21,71.57
11/06/2024,72.10,166466,72.08,72.59,71.51
11/05/2024,70.39,36637,69.27,70.39,69.22
11/04/2024,69.13,50386,68.79,69.525,68.79
11/01/2024,68.71,48285,68.93,69.16,68.69
10/31/2024,68.25,42829,68.83,69.12,68.22
10/30/2024,69.07,77555,68.94,69.4957,68.885
10/29/2024,68.85,51340,68.74,68.99,68.15
10/28/2024,69.11,62847,69.07,69.65,69.0675
10/25/2024,68.62,62586,69.42,69.4988,68.5399
10/24/2024,69.11,64784,69.67,69.67,69.11
10/23/2024,69.41,37681,69.39,69.83,69.00
10/22/2024,69.59,65489,69.86,69.94,69.51
10/21/2024,70.10,58690,70.62,70.7493,69.87
10/18/2024,70.69,27433,70.82,70.89,70.55
10/17/2024,70.74,33011,71.13,71.13,70.52
10/16/2024,71.22,46964,71.07,71.475,70.9298
10/15/2024,70.81,61905,70.94,71.46,70.72
10/14/2024,70.86,54695,70.29,70.87,70.225
10/11/2024,70.22,46510,69.54,70.27,69.54
10/10/2024,69.61,49719,69.73,69.79,69.34
10/09/2024,70.09,157642,69.88,70.39,69.815
10/08/2024,69.64,36131,69.45,69.8232,69.29
10/07/2024,69.37,41703,69.44,69.59,68.95
10/04/2024,69.64,46253,69.75,69.785,69.235
10/03/2024,69.57,50802,69.80,69.80,69.3306
10/02/2024,70.00,76502,69.72,70.15,69.62
10/01/2024,70.01,167959,70.53,70.53,69.67
09/30/2024,70.54,123734,70.35,70.62,69.82
09/27/2024,70.51,88434,70.55,71.09,70.28
09/26/2024,70.20,46451,69.86,70.46,69.86
09/25/2024,69.36,39395,69.89,69.99,69.28
09/24/2024,69.86,86150,69.89,70.07,69.77
09/23/2024,69.77,55815,69.43,69.7899,69.43
09/20/2024,69.30,62974,69.87,69.87,69.20
09/19/2024,70.14,50373,70.04,70.1699,69.58
09/18/2024,69.01,69004,69.27,69.83,68.81
09/17/2024,69.27,112485,69.18,69.51,68.94
09/16/2024,68.84,38923,68.31,68.87,68.31
09/13/2024,68.13,109102,67.75,68.28,67.52
09/12/2024,67.39,70202,66.89,67.39,66.64
09/11/2024,66.98,96563,66.97,67.03,65.67
09/10/2024,67.17,47349,66.77,67.17,66.5526
09/09/2024,66.65,47307,66.35,66.87,66.35
09/06/2024,66.09,73727,66.77,67.225,66.02
09/05/2024,66.77,140933,67.28,67.28,66.42
09/04/2024,67.64,52774,68.00,68.17,67.39
09/03/2024,68.51,92117,69.41,69.725,68.20
08/30/2024,69.84,46589,69.56,69.94,69.10
08/29/2024,69.32,54716,69.32,69.85,68.98
08/28/2024,69.13,32967,69.44,69.5399,69.05
08/27/2024,69.29,41806,69.45,69.47,69.07
08/26/2024,69.75,61822,69.97,70.2626,69.664
08/23/2024,69.75,38875,69.18,69.82,68.95
08/22/2024,68.71,45573,69.23,69.39,68.6395
08/21/2024,69.07,44099,68.66,69.13,68.445
08/20/2024,68.32,35996,68.71,68.81,68.16
08/19/2024,68.61,39723,68.28,68.6252,68.265
