,Close,Volume,Open,High,Low
2019-12-18,28.9787,27351.0,29.09,29.09,28.94
2019-12-19,29.16,18240.0,28.97,29.17,28.97
2019-12-20,29.42,38043.0,29.37,29.44,29.26
2019-12-21,29.42,38043.0,29.37,29.44,29.26
2019-12-22,29.42,38043.0,29.37,29.44,29.26
2019-12-23,29.51,62534.0,29.59,29.6553,29.42
2019-12-24,29.4322,8045.0,29.52,29.52,29.38
2019-12-25,29.4322,8045.0,29.52,29.52,29.38
2019-12-26,29.5264,27100.0,29.57,29.66,29.44
2019-12-27,29.4761,43437.0,29.72,29.72,29.43
2019-12-28,29.4761,43437.0,29.72,29.72,29.43
2019-12-29,29.4761,43437.0,29.72,29.72,29.43
2019-12-30,29.3489,22715.0,29.4,29.4839,29.24
2019-12-31,29.3908,22370.0,29.26,29.45,29.26
2020-01-01,29.3908,22370.0,29.26,29.45,29.26
2020-01-02,29.93,35663.0,29.74,29.93,29.7
2020-01-03,29.7,21344.0,29.63,29.8299,29.57
2020-01-04,29.7,21344.0,29.63,29.8299,29.57
2020-01-05,29.7,21344.0,29.63,29.8299,29.57
2020-01-06,29.5593,55727.0,29.54,29.59,29.38
2020-01-07,29.79,54289.0,29.66,29.88,29.61
2020-01-08,30.0554,39320.0,29.89,30.18,29.85
2020-01-09,30.32,59493.0,30.39,30.4954,30.12
2020-01-10,30.2185,36802.0,30.46,30.5,30.17
2020-01-11,30.2185,36802.0,30.46,30.5,30.17
2020-01-12,30.2185,36802.0,30.46,30.5,30.17
2020-01-13,30.5682,24610.0,30.32,30.57,30.31
2020-01-14,30.5792,29138.0,30.56,30.7,30.41
2020-01-15,30.3431,30323.0,30.5,30.5,30.29
2020-01-16,30.74,10816.0,30.5,30.74,30.5
2020-01-17,30.8692,28626.0,30.86,30.87,30.7
2020-01-18,30.8692,28626.0,30.86,30.87,30.7
2020-01-19,30.8692,28626.0,30.86,30.87,30.7
2020-01-20,30.8692,28626.0,30.86,30.87,30.7
2020-01-21,30.7443,53419.0,30.78,30.8639,30.71
2020-01-22,30.8832,11773.0,30.89,31.09,30.86
2020-01-23,31.0653,11719.0,31.0,31.07,30.79
2020-01-24,30.7417,32186.0,31.34,31.34,30.61
2020-01-25,30.7417,32186.0,31.34,31.34,30.61
2020-01-26,30.7417,32186.0,31.34,31.34,30.61
2020-01-27,29.7861,52983.0,30.08,30.08,29.75
2020-01-28,30.3,45110.0,29.96,30.34,29.93
2020-01-29,29.97,17728.0,30.32,30.3344,29.97
2020-01-30,29.8128,24988.0,29.67,29.845,29.48
2020-01-31,29.1026,30758.0,29.76,29.76,29.01
2020-02-01,29.1026,30758.0,29.76,29.76,29.01
2020-02-02,29.1026,30758.0,29.76,29.76,29.01
2020-02-03,29.3654,11336.0,29.14,29.4875,29.14
2020-02-04,30.15,18014.0,29.87,30.16,29.87
2020-02-05,30.317,12269.0,30.51,30.51,30.13
2020-02-06,30.48,13780.0,30.49,30.4975,30.29
2020-02-07,30.1541,11330.0,30.41,30.41,30.14
2020-02-08,30.1541,11330.0,30.41,30.41,30.14
2020-02-09,30.1541,11330.0,30.41,30.41,30.14
2020-02-10,30.5683,20762.0,30.25,30.5683,30.21
2020-02-11,30.9495,13245.0,30.78,31.1,30.78
2020-02-12,31.3852,12544.0,31.07,31.41,31.07
2020-02-13,31.3845,29681.0,31.38,31.51,31.19
2020-02-14,31.2765,14502.0,31.41,31.44,31.2
